ID,文構造,語句1,語句2,語句3,語句4,語句5,語句6,以降の文章,正解,日本語訳
207,2年不定詞を含む構文,It,is,not,easy,for,me,to solve the problem.,It is not easy for me to solve the problem.,私がその問題を解くのは容易ではありません。
208,2年不定詞を含む構文,It,is,necessary,for,you,to,learn a foreign language.,It is necessary for you to learn a foreign language.,あなたがたは外国語を学ぶことが必要です。
209,2年不定詞を含む構文,It,is,impossible,for,her,to,carry the big baggage.,It is impossible for her to carry the big baggage.,彼女がその大きな荷物を運ぶのは不可能です。
210,2年命令文,Don't,come,into,the room,without,a,knock.,Don't come into the room without a knock.,ノックをしないで部屋に入ってきてはいけません。
211,2年命令文,Hurry,up,or,you,will,be,late.,Hurry up or you will be late.,急ぎなさい、さもないと遅れちゃうわよ。
212,2年命令文,Study,hard,and,you,will,get,good marks in the test.,Study hard and you will get good marks in the test.,一生懸命勉強すれば試験でよい点数が取れるでしょう。
213,2年命令文,Please,say,hello,to,Mr.White,for,me.,Please say hello to Mr.White for me.,ホワイト先生によろしくお伝えください。
214,2年感嘆文,How,fast,that,bird,is,flying,!,How fast that bird is flying!,あの鳥は何と早く飛んでいることでしょう。
215,2年感嘆文,What,a,good,speaker,of,Japanese,Tom is.,What a good speaker of Japanese Tom is.,トムはなんて日本語を話すのがうまいのでしょう。
216,2年感嘆文,What,beautifil,picture,there,are,on,the wall!,What beautifil picture there are on the wall!,何と美しい絵が壁にかかっているのでしょう。
217,2年疑問詞,What,time,is,it,now,by,your watch?,What time is it now by your watch?,君の時計では今、何時ですか。
218,2年疑問詞,Which,month,comes,between,June,and,August?,Which month comes between June and August?,6月と8月の間にくるのはどの月ですか。
219,2年疑問詞,What,language,are,they,learning,at,school?,What language are they learning at school?,彼らは学校で何語を学んでいるのですか。
220,2年疑問詞,Which,way,shall,we,go,there,?,Which way shall we go there?,私たちはどちらの道を行きましょうか。
221,2年疑問詞,What,kind,of,music,do,you,like?,What kind of music do you like?,君はどんな種類の音楽が好きですか。
222,2年接続詞,It,began,to,rain,when,I,left home.,It began to rain when I left home.,私が家を出たとき、雨が降り出しました。
223,2年接続詞,I,was,doing,my,homework,when,he came.,I was doing my homework when he came.,彼が来たとき、私は宿題をしているところでした。
224,2年接続詞,When,I,came,home,my,brother,was watching TV.,When I came home my brother was watching TV.,私が帰宅したとき、弟はテレビを見ていました。
225,2年接続詞,When,I,was,a,little,boy,I wanted to be a scientist.,When I was a little boy I wanted to be a scientist.,私は子供のころ、科学者になりたいと思っていました。
226,2年接続詞,When,I,got,up,this,morning,it was snowing.,When I got up this morning it was snowing.,私が今朝起きたとき、雪が降っていました。
227,2年接続詞,When,he,was,a,college,student,he learned French.,When he was a college student he learned French.,彼は大学生の時、フランス語を学びました。
228,2年比較,Taro speaks English,better,than,any,other,student,in his class.,Taro speaks English better than any other student in his class.,太郎はクラスのほかのどの生徒よりも上手に英語を話します。
229,2年比較,Lake Biwa is,larger,than,any,other,lake,in Japan.,Lake Biwa is larger than any other lake in Japan.,琵琶湖は日本のほかのどの湖より大きい。
230,2年比較,He is,three,years,younger,than,I,am.,He is three years younger than I am.,彼は私より3歳若い。
231,2年比較,Roy was able to,jump,20 centimeters,higher,than,I,was.,Roy was able to jump 20 centimeters higher than I was.,ロイは私より20㎝高く飛ぶことができました。
232,2年比較,Nothing,is,more,exciting,than,movies,for me,Nothing is more exciting than movies for me,私にとって映画ほどワクワクするものはありません。
233,2年比較,No,one,in,this,town,is,richer than he is.,No one in this town is richer than he is.,この町で彼よりお金持ちの人はだれもいません。
234,2年比較,No,other,girl,in this class,can,sing,better than she can.,No other girl in this class can sing better than she can.,このクラスに彼女ほど上手に歌える女の子はいません。
235,2年比較,He is,one,of,the,most,popular,singers in Japan.,He is one of the most popular singers in Japan.,彼は日本で最も人気のある歌手の一人です。
236,2年比較,Kyoto is,one,of,the,oldest,cities,in Japan.,Kyoto is one of the oldest cities in Japan.,京都は日本で最も古い都市のうちの一つです。
237,2年比較,Try,to,hard,study,as,hard,as you can.,Try to hard study as hard as you can.,できるだけ一生懸命英語を勉強するようにしなさい。
238,2年比較,He,has,about,ten,times,as,many book as I do.,He has about ten times as many book as I do.,彼は私の約10倍多くの本を持っています。
239,2年比較,Mt.Fuji is,one,of,the,most,beautiful,mountains in Japan.,Mt.Fuji is one of the most beautiful mountains in Japan.,富士山は日本で最も美しい山のうちの1つです。
240,2年比較,I,like,strawberries,better,than,any,other fruit.,I like strawberries better than any other fruit.,私は果物の中ではイチゴが一番好きです。
241,2年比較,No,other,student,in,the,class,was so tall as Ken.,No other student in the class was so tall as Ken.,健はクラスで一番背が高かった。
242,2年比較,Nothing,is,so,pleasant,as,reading,.,Nothing is so pleasant as reading.,読書ほど楽しいものはありません。
243,2年比較,There,is,nothing,more,important,than,good health.,There is nothing more important than good health.,健康であることより大切なことはありません。
244,2年前置詞,There,was,a,clock,on,the,wall.,There was a clock on the wall.,壁に時計がかかっていました。
245,2年前置詞,A man,with,a dog,was,sitting,on,the banch.,A man with a dog was sitting on the banch.,犬を連れた人がベンチに座っていました。
246,2年前置詞,Last week she,worked,hard,until,late,at,night.,Last week she worked hard until late at night.,先週、彼女は夜遅くまで一生懸命勉強しました。
247,2年前置詞,I,can't,read,the book,without,using,the dictionary.,I can't read the book without using the dictionary.,その本は辞書なしでは僕には読めません。
248,2年前置詞,She said goodbye,with,tears,in,her,eyes,.,She said goodbye with tears in her eyes.,彼女は目に涙を浮かべてさよならを言いました。
249,2年受動態,This,interesting,poster,was,made,by,some Chinese children.,This interesting poster was made by some Chinese children.,この面白いポスターは何人かの中国の子供たちによって作られました。
250,2年受動態,Both,English,and,French,are,spoken,in Canada.,Both English and French are spoken in Canada.,カナダでは英語とフランス語の両方が話されます。
251,2年受動態,We,will,be,invited,to,Jack's,birthday party.,We will be invited to Jack's birthday party.,私たちはジャックの誕生パーティーに招待されるでしょう。
252,2年受動態,No,student,could,be,seen,in,the classroom.,No student could be seen in the classroom.,教室の中には生徒は見当たりませんでした。
253,2年受動態,Answers,must,not,be,written,with,a pencil.,Answers must not be written with a pencil.,答えは鉛筆で書いてはいけません。
254,2年受動態,Who,will,this,classroom,be,cleaned,by?,Who will this classroom be cleaned by?,この教室の掃除はだれがしますか。
255,2年現在完了,I,haven't,seen,you,for,a,long time.,I haven't seen you for a long time.,久しぶりですね。
256,2年現在完了,Two years,have,passed,since,Kuro,come,to my home.,Two years have passed since Kuro come to my home.,クロが家に来てから2年になります。
257,2年現在完了,I,have,never,seen,such,a,beautiful girl.,I have never seen such a beautiful girl.,今までにこんなに美しい少女を見たことがありません。
258,2年現在完了,Have,you,ever,kept,a,diary,in English?,Have you ever kept adiary in English?,英語で日記をつけたことがありますか。
259,2年現在完了,How,long,have,you,wanted,to,be a teacher?,How long have you wanted to be a teacher?,あなたはいつから先生になりたいと思っているのですか。
260,2年現在完了,How,many,times,have,you,been,to America?,How many times have you been to America?,アメリカに何度行ったことがありますか。
261,高校第一文型,Do,you,often,talk,to,your,friends?, Do you often talk to your friends ?,あなたは友達とよく話しますか？
262,高校第一文型,The,deep,red,door,closes,very,quietly., The deep red door closes very quietly .,そのドアは静かに閉じます。
263,高校第一文型,She,gets,up,at,five,in,the morning,. She gets up at five in the morning .,彼女は朝五時に起きます。
264,高校第一文型,My,small,cats,do,not,move,quickly,. My small cats do not move quickly .,わたしの猫たちは素早く動きません。
269,高校第三文型,We,have,a,lot,of,big,computers,. We have a lot of big computers .,私たちはたくさんの大きなコンピューターを持っています。
270,高校第三文型,My,uncle,likes,small,dogs,very,much,. My uncle likes small dogs very much .,私のおじさんは小さな犬がとても好きです。
272,高校第三文型,Does,your,father,eat,a,lot,?, Does your father eat a lot ?,あなたのおじさんはよく食べますか？
273,高校第四文型,Please,tell,me,the,way,to,the station.,Please tell me the way to the station.,駅までの道を教えてください。
274,高校第四文型,They,gave,you,a,key,to,their room.,They gave you a key to their room.,彼らはあなたに彼らの部屋の鍵をあげました。
275,高校第四文型,I,sent,an,e-mail,to,my,cousin.,I sent an e-mail to my cousin.,私はいとこにメールを送りました。
276,高校第四文型,Did,you,ask,him,any,questions,?,Did you ask him any questions?,あなたは彼に質問しましたか？
278,高校第五文型,Very,big,roller,coasters,make,me,excited.,Very big roller coastersmake me excited.,ジェットコースターは私を興奮させます
279,高校第五文型,He,doesn't,leave,his,room,messy,.,He doesn't leave his room messy.,彼は自分の部屋を散らかったままにしません。
282,高校現在形,Do,you,study,English,at,home,?,Do you study English at home?,あなたは家で英語を勉強しますか？
283,高校現在形,They,don't,have,any,problems,at,school.,They don't have any problems at school.,彼らは学校で何の問題もありません。
284,高校現在形,Tokyo,is,a,big,and,exciting,city,.Tokyo is a big and exciting city.,東京は大きくて楽しい街です。
285,高校過去形,Izumi,was,a,good,swimmmer,in,her childfood.,Izumi was a good swimmmer in her childfood.,子供のころ、いずみは水泳が得意でした。
286,高校過去形,I,did,my,homework,at,the,library yesterday,.I did my homework at the library yesterday.,私は昨日、図書館で宿題をしました。
287,高校過去形,Did,they,go,to,see,a,movie last week ?,Did they go to see a movie last week ?,彼らは先週、映画を見に行きましたか？
288,高校過去形,We,didn't,buy,anything,at,the,supermarket yesterday.,We didn't buy anything at the supermarket yesterday.,私たちは昨日、スーパーで何も買いませんでした。
289,高校現在完了形,Atsuko,is,going,to,visit,Paris,next week.,Atsuko is going to visit Paris next week.,あつこは来週パリを訪れる予定です。
290,高校現在完了形,I,think,it,will,be,sunny,the day after tomorrow.,I think it will be sunny the day after tomorrow.,明後日は晴れると思います。
291,高校現在完了形,He isn't,going,to,buy,a,new,car because he has one.,He isn't going to buy a new car because he has one.,彼は車を一台持っているので、新しい車は買わないでしょう。
292,高校現在完了形,Will,you,come,back,to,Japan,in the future.,Will you come back to Japan in the future.,あなたは将来、日本に戻ってきますか？
293,高校現在完了形の用法,Nana,and,her,family,have,moved,three times.,Nana and her family have moved three times.,ななと彼女の家族は三度引越ししたことがあります。
294,高校現在完了形の用法,I,have,never,eaten,that,food,.,I have never eaten that food.,私はその食べ物を一度も食べたことがありません。
295,高校現在完了形の用法,Have,you,ever,been,to,Egypt,?,Have you ever been to Egypt?,あなたはエジプトに行ったことがありますか？
296,高校現在完了形の用法,I,haven't,talked,to,him,before,.,I haven't talked to him before.,私は以前に彼と話したことはありません。
297,高校現在完了形の用法,I,have,studied,English,for,twenty,years in Japan.,I have studied English for twenty years in Japan.,私は日本で0年間英語を勉強しています。
298,高校現在完了形の用法,His,brother,has,not,finished,his,homework yet.,His brother has not finished his homework yet.,私の弟はまだ宿題を終えていません。
299,高校現在完了形の用法,I,have,not,seen,him,for,a while.,I have not seen him for a while.,私は彼にしばらく会っていません。
300,高校現在完了形の用法,Has,she,written,to,her,mother,yet?,Has she written to her mother yet?,彼女はお母さんにもう手紙を書きましたか？
301,高校過去完了形,They,had,already,left,before,Mr. Ueno,arrived there.,They had already left before Mr. Ueno arrived there.,上野さんがそこに着く前に、彼らはすでに帰ってしまっていた。
302,高校過去完了形,She,had,never,spoken,French,until,then.,She had never spoken French until then.,彼女はその時まで、フランス語を一度も話したことがありませんでした。
303,高校過去完了形,He,had,struggled,for,years,before,his dream finally came true.,He had struggled for years before his dream finally came true.,彼の夢がかなう前、彼は長年、苦労してきました。
304,高校過去完了形,I,knew,the story,very,well,because,I had read it before.,I knew the story very well because I had read it before.,以前に読んだことがあったので、私はその話をよく知っていました。
305,高校未来完了形,He,will,have,finished,his homework,by,p.m.tonight.,He will have finished his homework by  p.m. tonight.,今夜時までに宿題を終えているでしょう。
306,高校未来完了形,We,will,have,been,married,for,five years next week.,We will have been married for five years next week.,私たちは来年で結婚周年です。
307,高校未来完了形,Will,you,have,completed,your,report,before the meeting.,Will you have completed your report before the meeting.,あなたは会議の前までにレポートを完成させていますか？
308,高校未来完了形,We,won't,have,finished,the,repairs,before the race because we are buisy now.,We won't have finished the repairs before the race because we are buisy now.,私たちは今忙しいので、修理をレースの前に終えていないでしょう。
309,高校現在進行形,We,are,arriving,at,Narita,Airport,at p.m. tonight.,We are arriving at Narita Airport at p.m. tonight.,私たちは今夜時に成田空港に到着します。
310,高校現在進行形,Mr.MIyagawa,wants,a,new,suit,for,the interview.,Mr.MIyagawa wants a new suit for the interview.,宮川さんんはその面接のために新しいスーツを欲しがっています。
311,高校現在進行形,Nick,knows,a,lot,about,Japanese,food.,Nick knows a lot about Japanese food.,ニックは日本の食べ物について多くのことを知っています。
312,高校現在進行形,He,is,not,coming,to,our,party tomorrow.,He is not coming to our party tomorrow.,彼は明日、私たちのパーティーにこないでしょう。
313,高校過去進行形・未来進行形,I,was,watching,Tv,when,she,come to my house.,I was watching Tv when she come to my house.,彼女が私の家に来た時、私はテレビを見ていました。
314,高校過去進行形・未来進行形,The,boy,was,sleeeping,in,the,bed then.,The boy was sleeeping in the bed then.,その少年はその時ベッドで寝ていました。
315,高校過去進行形・未来進行形,I,will,be,attending,the,class,at p.m. tomorrow.,I will be attending the class at p.m. tomorrow.,私は明日の時にその授業に出席しているでしょう。
316,高校過去進行形・未来進行形,Will,he,be,leaving,here,at,this time next week?,Will he be leaving here at this time next week?,私は来週のこの時間にここを出発することになっていますか？
317,高校現在完了進行形,He,has,been,trying,to,call,his client for a week.,He has been trying to call his client for a week.,一週間、彼はお客さんに電話をかけようとし続けています。
318,高校現在完了進行形,I,have,been,studying,for,about,three hours.,I have been studying for about three hours.,私は三時間くらいずっと勉強しています。
319,高校現在完了進行形,It,has,been,raining,since,the,day before yesterday.,It has been raining since the day before yesterday.,おとといから雨が降り続いています。
320,高校現在完了進行形,Have,you,been,waiting,here,for,two houes.,Have you been waiting here for two houes.,あなたはここで時間待ち続けているのですか？
321,高校助動詞,THey,will,not,arrive,by, p.m.,due to traffic.,THey will not arrive by  p.m. due to traffic.,彼らは渋滞のせいで時までに到着しないでしょう。
322,高校助動詞,That,drug store,must,sell,headache,medichine,.,That drug store must sell headache medichine.,あの薬局は頭痛薬を売っているにちがいありません。
323,高校助動詞,The,rumor,about,the,celebirity,couple,may be true.,The rumor about the celebirity couple may be true.,その有名人カップルの噂は本当かもしれません。
324,高校助動詞,They,should,be,having,lunch,now,.,They should be having lunch now.,彼らは今、昼食を食べているはずです。
325,高校助動詞,He,may,be,driving,to,work,now.,He may be driving to work now.,彼は今、仕事へ向かうために運転しているかもしれません。
326,高校助動詞,This,room,can,be,used,by,anyone in this club.,This room can be used by anyone in this club.,この部屋は、このクラブの誰によっても使われることができます。
327,高校助動詞,It,must,have,been,very,hard,for you.,It must have been very hard for you.,それはあなたにとって、とてもつらいことだったに違いありません。
328,高校不定詞,We,went,to,America,to,learn,practical English.,We went to America to learn practical English.,私たちは実践的な英語を学ぶためにアメリカに行きました。
329,高校不定詞,He,got,enough,money,to,travel,around the world.,He got enough money to travel around the world.,彼は世界中を旅行するための十分なお金を手に入れました。
330,高校不定詞,To,sleep,well,is,important,for,me.,To sleep well is important for me.,よく眠ることは、私にとって重要なことです。
331,高校不定詞,Did,you,go,there,to,meet,him?,Did you go there to meet him?,彼に会うためにそこに行ったのですか？
332,高校不定詞,It,is,interesting,for,us,to,learn the dirrerences between English and Japanese.,It is interesting for us to learn the dirrerences between English and Japanese.,私たちが英語と日本語の違いを学ぶのは興味深いです。
333,高校不定詞,It,is,too,dangerous,for,children,to swim in this river.,It is too dangerous for children to swim in this river.,子供たちがこの川で泳ぐのは危険すぎます。
334,高校不定詞,It,wasn't,boring,for,them,to,listen to this lecture.,It wasn't boring for them to listen to this lecture.,彼らがこの講義を聴くことは退屈ではありませんでした。
335,高校不定詞,It,is,easy,for,you,to,read five bokks a day.,It is easy for you to read five bokks a day.,あなたが一日に冊の本を読むことは簡単ですか？
336,高校不定詞,Her,parents,want,her,to,go,abroad.,Her parents want her to go abroad.,彼女の両親は彼女が海外へ行くことを望んでいます。
337,高校不定詞,The,doctor,advised,me,to,eat,more vegetables.,The doctor advised me to eat more vegetables.,医者は私にもっと野菜を食べるように助言しました。
338,高校不定詞,Can,you,help,me,put,these,boxes on the shelf?,Can you help me put these boxes on the shelf?,これらの箱を棚に乗せるのを手伝ってくれますか？
339,高校不定詞,I,did,not,expect,him,to,be here!,I did not expect him to be here!,彼がここにいるなんて期待していませんでした！
340,高校不定詞,It,is,frustrating,not,to,be,able to do what I want to do.,It is frustrating not to be able to do what I want to do.,わたしのしたいことができないのはもどかしいです。
341,高校不定詞,The,students,seemed,to,be,paying,attention to the lecture.,The students seemed to be paying attention to the lecture.,生徒たちはその講義に注意を払っているようでした。
342,高校不定詞,To,be,exact、,he,arrived,at,the station at 10:00.,To be exact、he arrived at the station at 10:00.,正確に言うと、彼は10時00分に駅に到着しました。
343,高校不定詞,It,is,strange,not,to,eat,breakfast.,It is strange not to eat breakfast.,朝食を食べないのはおかしなことですか？
344,高校不定詞,These,buildings,seem,to,have,been,used in the 10th century.,These buildings seem to have been used in the 10th century.,これらの食べ物は10世紀に使われていたようです。
345,高校不定詞,We,were,made,to,sit,on,the floor for three hours.,We were made to sit on the floor for three hours.,私たちは時間、床に座らされていました。
346,高校不定詞,He,did,not,want,to,be,bothered on his vacation.,He did not want to be bothered on his vacation.,彼は休暇中にじゃまされたくありませんでした。
347,高校不定詞,Was,Mary,glad,to,have,been,able to help you?,Was Mary glad to have been able to help you?,メアリーはあなたを助けることができたことを喜んでいましたか？
348,高校動名詞,Would,you,mind,my,practicing,the,violin there.,Would you mind my practicing the violin there.,ここでバイオリンの練習をしてもいいですか？
349,高校動名詞,He,is,proud,of,having,passed,the examination.,He is proud of having passed the examination.,彼は試験に合格したことを誇りに思っています。
350,高校動名詞,I,don't,like,being,disturbed,while,studying.,I don't like being disturbed while studying.,私は勉強中に邪魔されたくありません。
351,高校動名詞,We,expected,to,see,you,yesterday,.,We expected to see you yesterday.,昨日あなたに会うのを期待していました。
352,高校動名詞,I,have,just,finished,cooking,dinner,.,I have just finished cooking dinner.,私はちょうど夕食を作り終えたところです。
353,高校動名詞,His,doctor,advised,him,to,give,up smoking at once.,His doctor advised him to give up smoking at once.,医者は彼にたばこを吸うのをすぐにやめるよう助言した。
354,高校動名詞,Have,you,decided,to,go,to,the party next week?,Have you decided to go to the party next week ?,来週のパーティーに行くことを決めましたか？
355,高校分詞,Can,you,see,the,girl,singing,over there?,Can you see the girl singing over there?,あそこで歌っている女の子が見えますか？
356,高校分詞,I,found,some,girls,excited,to,see a famous model on the street.,I found some girls excited to see a famous model on the street.,通りで有名なモデルに会って興奮した少女たちを、私は見つけました。
357,高校分詞,I,don't,know,the,man,wating,in front of the bookstore.,I don't know the man wating in front of the bookstore.,書店の前で待っている男性を私は知りませんでした。
358,高校分詞,The,broken,window,was,replaced,with,a new one.,The broken window was replaced with a new one.,割れた窓は新しいものに取り換えられました。
359,高校分詞,My,mother,heared,me,singing,in,the shower.,My mother heared me singing in the shower.,私がシャワーを浴びながら歌っているのを、母は聞いていました。
360,高校分詞,I,had,to,have,my,computer,repaired as soon as posssible.,I had to have my computer repaired as soon as posssible.,私はできるだけ早くコンピューターを修理してもらわねばなりませんでした。
361,高校分詞,We,couldn't,hear,our,songs,played,at the party.,We couldn't hear our songs played at the party.,私たちはパーティーで自分たちの曲が演奏しているのを聞けませんでした。
362,高校分詞,They,kept,studying,English,until,midnight,.,They kept studying English until midnight.,彼らは夜中まで英語を勉強し続けていました。
363,高校分詞構文,Opening,the,window,he,found,his,brother runnning down the street.,Opening the window he found his brother runnning down the street.,窓を開けると、彼は自分の兄が通りを走っていくのを見かけました。
364,高校分詞構文,Surrounded,by,the,defence,the,striker,passed the ball.,Surrounded by the defence the striker passed the ball.,ディフェンスに囲まれて、そのストライカーはボールをパスしました。
365,高校分詞構文,Not,knowing,the,result,I,asked,him about the game.,Not knowing the result I asked him about the game.,結果を知らなかったので、私は彼に試合について尋ねました。
366,高校分詞構文,Having,lost,his,cell phone,he,looked,for a public phone.,Having lost his cell phone he looked for a public phone.,携帯電話を無くしたので、彼は公衆電話を探しました。
367,高校分詞構文,Not,having,been,here,before,I,lost my way.,Not having been here before I lost my way.,以前にここに来たことがないので、私は道に迷いました。
368,高校分詞構文,Having,been,approaved,by,the committee、,the report,was published.,Having been approaved by the committee、 the report was published.,委員会に承認されて、そのレポートは公表されました。
369,高校分詞構文,While,watching,a movie、,he,fell,asleep,.,While watching a movie、he fell asleep.,映画を見ている間、彼は眠ってしまいました。
370,高校分詞構文,While,waiting,for,the bus、,she,texted,her friend.,While waiting for the bus、she texted her friend.,バスを待っている間、彼女は友達にメールしました。
371,高校分詞構文,The snow,beginning,to,fall、,I,decided,to ride my bike.,The snow beginning to fall、I decided to ride my bike.,雪が降り出したので、私は自転車に乗るのをやめることにしました。
372,高校分詞構文,He,listened,to,me,with,his arms,crossed.,He listened to me with his arms crossed.,彼は腕組みしながら、私の話を聞いていました。
373,高校分詞構文,Weather,permitting、,we,wil,go,on,a picnic this weekend.,Weather permitting、we wil go on a picnic this weekend.,天候が許せば、私たちは今週末にピクニックに行く予定です。
374,高校仮定法,If,I,had,wings、,I,could,fly in the sky.,If I had wings、I could fly in the sky.,もしわたしに羽があれば、空を飛べるのに。
375,高校仮定法,If,I,had,a long vacation、,I,would,travel to Finland.,If I had a long vacation、I would travel to Finland.,もし私に長い休みがあれば、フィンランドに旅行するのに。
376,高校仮定法,If,I,couldn't,speak,English、,I,wouldn't be able to talk with you.,If I couldn't speak English、I wouldn't be able to talk with you.,もし私が英語を話せないなら、あなたと話ができないでしょう。
377,高校仮定法,What,would,you,do,if,you,lived in Okinawa.,What would you do if you lived in Okinawa.,もし沖縄に住んでいたら、何をしますか？
378,高校仮定法,If,he,had,bought,a ticket,yesterday、,he could see this movie now.,If he had bought a ticket yesterday、he could see this movie now.,もし彼が昨日チケットを買っていたら、今この映画を見られるのに。
379,高校仮定法,If,I,hadn't,decided,to,attend,this university、I couldn't have met you.,If I hadn't decided to attend this university、I couldn't have met you.,もしあの時この大学に入ると決めなかったら、あなたに会えなかったでしょう。
380,高校仮定法,If,it,had,not,snowed,heavily,yesterday、I could play tennis now.,If it had not snowed heavily yesterday、I could play tennis now .もし昨日大雪が降らなかったら、今テニスができるのに。
381,高校仮定法,I,wish,there,were,30,hours,in a day.,I wish there were 30 hours in a day.,一日に三十時間あればなあ。
382,高校仮定法,A little girl,is,runnning,after,a pigeon,as,if she were a cat.,A little girl is runnning after a pigeon as if she were a cat.,少女はまるで猫になったかのように、鳩を追いかけています。
383,高校仮定法,If,you,should,go,to,the,party、say hello to Akane.,If you should go to the party 、say hello to Akane.,もしもパーティーに行くことがあったら、あかねによろしく伝えてください。
384,高校仮定法,He,behaved,as,if,he,had,not eaten the cookie.,He behaved as if he had not eaten the cookie.,彼はそのクッキーを食べていなかったかのように振る舞いました。
385,高校仮定法,If,it,were,not,for,recent,technology、most people couldn't work at home.,If it were not for recent technology 、most people couldn't work at home.,最近のテクノロジーがなければ、ほとんどの人は自宅で仕事をすることができないでしょう。
386,高校仮定法,But,for,their,negotiation、,this,project,wouldn't have been completed.,But for their negotiation 、this project wouldn't have been completed.,彼らの交渉がなければ、このプロジェクトは完了していなかったでしょう。
387,高校仮定法,It,is,high,time,you,had,a haircut.,It is high time you had a haircut.,そろそろ散髪してもいいころですよ。
388,高校仮定法,It,is,about,time,we,went,home.,It is about time we went home.,私たちはもう家に帰る時間です。
389,高校比較級,My,cell,phone,bill,this,month,is as high as it was last month.,My cell phone bill this month is as high as it was last month.,今月の私の携帯電話料金は先月と同じくらい高いです。
390,高校比較級,My,mother,cooks,as,well,as,a professioneal chef does.,My mother cooks as well as a professioneal chef does.,私の母はプロの料理人と同じくらい料理がうまいです。
391,高校比較級,He,doesn't,run,as,fast,as,I do.,He doesn't run as fast as I do.,彼の走る速さは私ほどではありません。
392,高校比較級,Is,he,as,tall,as,his,father.,Is he as tall as his father.,彼は彼のお父さんと同じくらいの身長ですか？
393,高校比較級,These,shoes,are,more,expensive,than,I expected.,These shoes are more expensive than I expected.,この靴は私が予想したよりも高価です。
394,高校比較級,Beef,stew,tastes,better,the,next,day.,Beef stew tastes better the next day.,ビーフシチューは翌日のほうがおいしくなります。
395,高校比較級,My,dog,isn't,bigger,than,a cat,.,My dog isn't bigger than a cat.,わたしの犬は猫よりも大きくありません。

397,高校比較級,I,like,him,the,best,of,all the actors.,I like him the best of all the actors.,私はすべての俳優の中で彼が一番好きです。
398,高校比較級,He,runs,faster,than,any,other,boy in his class.,He runs faster than any other boy in his class.,クラスの男子のなかで、彼は一番速く走ります。
399,高校比較級,He,is,not,the,oldeat,among,us.,He is not the oldeat among us.,私たちの中で、彼が最年長ではありません。
400,高校比較級,What,was,a,greatest,moment,in,your life.,What was a greatest moment in your life.,あなたの人生の中で最高の瞬間はいつでしたか？
401,高校関係代名詞,I,wii,introduce,my,friend,who,runs her own restaurant.,I wii introduce my friend who runs her own restaurant.,レストランを経営している私の友人を紹介いたします。
402,高校関係代名詞,Try,this,drink,which,is,really,tasty and healthy.,Try this drink which is really tasty and healthy.,とてもおいしくて健康にいい、この飲み物をお試しください。
403,高校関係代名詞,He,is,a student,who,often,asks,me some questions.,He is a student who often asks me some questions.,彼は私によく質問してくる学生です。
404,高校関係代名詞,Do,you,know,the,newspaper,which,reported this event in detail?,Do you know the newspaper which reported this event in detail?,このイベントを詳しく報告した新聞を知っていますか？
405,高校関係代名詞,Show,me,the,math,test,which,you took yesterday.,Show me the math test which you took yesterday.,あなたが昨日受けた数学のテストを見せてください。
406,高校関係代名詞,I,talked,to,a,writer,whose,books are selling well now.,I talked to a writer whose books are selling well now.,私は今、著作が売れている作家と話しました。
407,高校関係代名詞,We,want,to,support,the,leader,who we all respect.,We want to support the leader who we all respect.,私たちは、みんなで尊敬しているリーダーを支えたいです。
408,高校関係代名詞,The,house,which,you,can,see,on the hill is ours.,The house which you can see on the hill is ours.,丘の上に見える家が私たちの家です。
409,高校関係代名詞,You,gave,me,what,I,really,wanted.,You gave me what Ireally wanted.,私が本当に欲しいものをあなたは私にくれました。
410,高校関係代名詞,These,are,all,the books,that,I,have already read.,These are all the books that I have already read.,これらは私が読んだことのあるすべての本です。
411,高校関係代名詞,What,is,written,in,this,letter,is true.,What is written in this letter is true.,この手紙に書かれていることは本当です。
412,高校関係代名詞,She,was,the,only,person,that,believed that they could win.,She was the only person that believed that they could win.,彼女は、彼らが勝てるということを信じていた唯一の人でした。
413,高校関係代名詞,I,am,very,happy,to,have,friends that I can rely on.,I am very happy to have friends that I can rely on.,信頼できる親友たちがいて、私はとてもうれしいです。
414,高校関係代名詞,There,are,a,lot,of,cases,in which their dreams really come true.,There are a lot of cases in which their dreams really come true.,夢が本当にかなうということは、とてもよくあることです。
415,高校関係代名詞,She,is,the,lady,who,we,have been lookig for.,She is the lady who we have been lookig for.,彼女は私たちが探し続けている女性です。
416,高校関係代名詞,The,time,at,which,they,should,leave is p.m.,The time at which they should leave is p.m.,彼らが出発すべき時間は午後三時です。
417,高校関係副詞,I,can,tell,the,time,when,I came home yesterday.,I can tell the time when I came home yesterday.,私は自分が昨日帰宅した時間をお伝え出来ます。
418,高校関係副詞,The,reason,why,he,chose,this,job is very clear.,The reason why he chose this job is very clear.,彼がこの仕事を選んだ理由はとても明白です。
419,高校関係副詞,We,didn't,know,how,we,could,deal with the problem.,We didn't know how we could deal with the problem.,私たちはその問題に対処する方法を知りませんでした。
420,高校関係副詞,We,will,never,forget,the,year,when we opened our shop.,We will never forget the year when we opened our shop.,自分たちの店を開店した年のことを私たちは忘れないでしょう。
421,高校関係副詞,The,chose,the,path,which,was,the least diffficult.,The chose the path which was the least diffficult.,彼らは最も難しくない道を選びました。
